model,family,metric_name,block,reading_bin,reading_phase,raw_spearman_rho,length_controlled_spearman_rho,n_programs,status
Qwen,Expert-choice confidence,fixed_v8_composite_1,13,11,late,-0.1096041055718475,-0.0157624633431085,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,14,0,early,-0.2342375366568914,0.2126099706744868,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,14,1,early,-0.4442815249266861,-0.0076979472140762,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,14,2,early,-0.4244868035190615,-0.1019061583577712,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,14,3,early,-0.4149560117302052,0.0113636363636363,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,14,4,middle,-0.4622434017595307,-0.157624633431085,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,14,5,middle,-0.3504398826979471,-0.0285923753665689,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,14,6,middle,-0.3174486803519061,-0.0069648093841642,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,14,7,middle,-0.3090175953079178,0.0267595307917888,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,14,8,late,-0.2184750733137829,0.1697214076246334,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,14,9,late,-0.2730938416422287,0.1495601173020527,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,14,10,late,-0.4640762463343108,0.0139296187683284,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,14,11,late,-0.3244134897360703,0.0681818181818181,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,15,0,early,-0.1752199413489735,0.0608504398826979,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,15,1,early,-0.3526392961876832,-0.0362903225806451,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,15,2,early,-0.282258064516129,0.002565982404692,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,15,3,early,-0.3167155425219941,0.0476539589442815,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,15,4,middle,-0.2313049853372434,0.0975073313782991,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,15,5,middle,-0.2331378299120234,0.0384897360703812,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,15,6,middle,-0.3229472140762462,-0.1862170087976539,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,15,7,middle,-0.2774926686217008,-0.0821114369501466,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,15,8,late,-0.2855571847507331,-0.0417888563049853,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,15,9,late,-0.2749266862170087,-0.095307917888563,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,15,10,late,-0.4164222873900293,-0.0560850439882697,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,15,11,late,-0.3097507331378298,-0.0736803519061583,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,16,0,early,-0.4310850439882697,-0.2423020527859237,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,16,1,early,-0.406524926686217,0.0707478005865102,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,16,2,early,-0.4105571847507331,0.0256598240469208,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,16,3,early,-0.4985337243401758,-0.0707478005865102,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,16,4,middle,-0.5109970674486803,-0.2052785923753665,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,16,5,middle,-0.4186217008797653,-0.1711876832844574,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,16,6,middle,-0.374633431085044,-0.0714809384164222,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,16,7,middle,-0.4494134897360703,-0.2569648093841642,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,16,8,late,-0.2708944281524926,0.0725806451612903,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,16,9,late,-0.3907624633431084,-0.0289589442815249,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,16,10,late,-0.4428152492668622,0.0674486803519061,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,16,11,late,-0.3713343108504399,0.0458211143695014,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,17,0,early,-0.2063782991202346,-0.0051319648093841,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,17,1,early,-0.2276392961876832,0.1118035190615835,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,17,2,early,-0.1645894428152492,0.0388563049853372,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,17,3,early,-0.2287390029325513,0.0454545454545454,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,17,4,middle,-0.2635630498533724,-0.0436217008797653,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,17,5,middle,-0.1293988269794721,0.0791788856304985,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,17,6,middle,-0.1352639296187683,0.0040322580645161,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,17,7,middle,-0.189516129032258,-0.0384897360703812,32,available
